,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
874,Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,1106 reviews,Beginner,110k,https://www.coursera.org/specializations/data-analysis,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/Wesleyan_DataAnalysis_Istock41296982.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Learn Data Science Fundamentals. Drive real world impact with a four-course introduction to data science.,4.4stars,788 ratings,"Lisa Dierker, Jen Rose","18,557","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Statistics, Data Analysis, Machine Learning, Regression Analysis, SAS Language, Python Programming, Data Management, Chi-Squared (Chi-2) Distribution, Statistical Hypothesis Testing, Analysis Of Variance (ANOVA), Logistic Regression, Exploratory Data Analysis",Data Analysis;Language;Machine Learning;Management;Python;SAS Programming;Science;Statistics,Data Analysis;Computer Science;Math and Logic;Language and Communication;Data Science;Life Science
875,API Design and Fundamentals of Google Cloud's Apigee API Platform,Google Cloud,COURSE,4.7,1646 reviews,Intermediate,18k,https://www.coursera.org/learn/api-design-apigee-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/85/fae0a03ff811e7972e7fa5f98f4f29/5.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Google Cloud Training,,"Shareable Certificate, 100% online, Course 1 of 1 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 1 in the, Flexible deadlines, English",English,"Best Practice, Application Programming Interfaces (API), Representational State Transfer (REST)",Design;Google,Design;Computer Science;Marketing
876,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,398 reviews,Intermediate,12k,https://www.coursera.org/specializations/autodesk-cad-cam-manufacturing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/eb/875b2a0c6046ab839a763cbe6c617f/Specialization.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Ready for the convergence of design and make?. Advance your career by learning computer aided design, manufacturing, and toolpath creation. These skills are the future of design and manufacturing. ",4.8stars,344 ratings,Autodesk,"5,096","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Autodesk, Computer-Aided Design (CAD), Computer-Aided Manufacturing, Mechanical Engineering, Manufacturing Processes, Manufacturing Process Management, Autodesk Fusion 360, Manufacturing process, Computer-aided manufaturing, Engineering",Autodesk;Autodesk Fusion 360;Design;Engineering;Management,Autodesk;Computer Science;Physical Science and Engineering;Business
877,Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,COURSE,4.6,248 reviews,Mixed,33k,https://www.coursera.org/learn/global-warming,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b6/6726d0b57611e5b5992b53a95dfdb5/coursera1-2016-square.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,David Archer,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Climate Change;Science,Climate Change
878,Global Financial Markets and Instruments,Rice University,COURSE,4.6,1177 reviews,Mixed,43k,https://www.coursera.org/learn/global-financial-markets-instruments,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/04/3c9f305b4d11e6a0bdc3a6b52c21d6/Stocks3Thumb.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Arzu Ozoguz,,"Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English",English,"Bond Valuation, Financial Markets, Finance, Investment",Finance;Investment;Valuation,Finance
879,Valuation and Financial Analysis For Startups,Yonsei University,SPECIALIZATION,4.4,284 reviews,Beginner,14k,https://www.coursera.org/specializations/startup-valuation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0a/9c3a40636b11e6af38f98accbaf35b/finance_thumb_n.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Master Practical Startup Valuation Methods . Estimate startup value, understand financial statements, and make sound investment decisions. ",4.4stars,222 ratings,"Hyun Han Shin, Saeyeul Park","4,373","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Discounted Cash Flow, Enterprise Value, Bond Valuation, Present Value",Financial Analysis;Investment;Valuation,Financial Analysis
880,Developing a Google SRE Culture,Google Cloud,COURSE,4.6,14 reviews,Beginner,,https://www.coursera.org/learn/developing-a-google-sre-culture,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ab/ed9ce4161544dabb14b4918997e425/DevOps_logo-01-copy.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Google Cloud Training,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"SRE Culture, Business Value, Organizational Culture",Business;Google,Business;Business;Computer Science;Marketing
881,Converting Challenges into Opportunities,University of California San Diego,COURSE,4.6,685 reviews,Beginner,40k,https://www.coursera.org/learn/converting-challenges-into-opportunities,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/2f/ef88a06ce411e78709131e7869ec96/course2_sq.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Drew Dougherty, Josh Shapiro, PhD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
882,Building Cloud Services with the Java Spring Framework,Vanderbilt University,COURSE,4.4,127 reviews,Intermediate,13k,https://www.coursera.org/learn/cloud-services-java-spring-framework,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/da/dc72e0a35b11e594b36397a5830f12/coursera_course_logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.4stars,,"Dr. Jules White, Dr. Douglas C. Schmidt",,"Shareable Certificate, 100% online, Flexible deadlines, Intermediate Level, English, Shareable Certificate, 100% online, Flexible deadlines, Intermediate Level, English",English,"Hypertext Transfer Protocol (HTTP), Servlets, Cloud Services, Web Application, Java Spring Framework",Java,Java;Data Science
883,Six Sigma and the Organization (Advanced),University System of Georgia,COURSE,4.7,1500 reviews,Intermediate,22k,https://www.coursera.org/learn/six-sigma-organization-advanced,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/3c/11179040b911e795ad21e7f82353cf/800x800-DMAIC.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"David Cook, PhD, Bill Bailey, PhD",,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,"Lean Six Sigma, Process Improvement, Process Capability, Six Sigma",Six Sigma,Six Sigma
884,Introduction to Augmented Reality and ARCore,Google AR & VR,COURSE,4.5,2077 reviews,Beginner,40k,https://www.coursera.org/learn/ar,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ec/a977b070b911e899c3899c23f43c23/ARCore-logo-_3_.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Google AR & VR,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
885,"Graph Search, Shortest Paths, and Data Structures",Stanford University,COURSE,4.8,1646 reviews,Intermediate,51k,https://www.coursera.org/learn/algorithms-graphs-data-structures,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/21/54dd30f05e11e59bf9d905b70dcbd9/cs161logo2.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Tim Roughgarden,,"Shareable Certificate, 100% online, Course 2 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 2 of 4 in the, Flexible deadlines, English",English,"Graphs, Data Structure, Algorithms, Hash Table",Algorithms;Data Structures;Data Structures and Algorithms,Algorithms;Physical Science and Engineering;Data Science
886,Install and Manage Google Cloud's Apigee API Platform,Google Cloud,SPECIALIZATION,4.6,245 reviews,Intermediate,4.3k,https://www.coursera.org/specializations/apigee-api-gcp-onprem,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/d6/6d4af0260c11e89dfe33df3109f15b/_J2A2446.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Installing and managing the Apigee API Platform. Learn about the fundamentals of designing, installing and managing Apigee API Platform On-Premises",4.7stars,201 ratings,Google Cloud Training,"2,956","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 1 month to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 1 month to complete, English",English,,Google,Google;Marketing
887,Getting Started With Music Theory,Michigan State University,COURSE,4.5,459 reviews,Beginner,66k,https://www.coursera.org/learn/music-theory,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/dc/9f2ae0cdcc11e6baaf29709e0cdf21/logoinverted.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.5stars,,Bruce Taggart,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Music,Music
888,The Science of the Solar System,Caltech,COURSE,4.8,457 reviews,Mixed,45k,https://www.coursera.org/learn/solar-system,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7f/00cbb0969c11e38c3fb9c37db4fbf3/course_image_1920x1080_notext4.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Mike Brown,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Solar Systems, Chemistry, Geology, Astrobiology",Chemistry ;Science,Chemistry 
889,How Music Can Change Your Life,The University of Melbourne,COURSE,4.7,120 reviews,Beginner,19k,https://www.coursera.org/learn/music-life,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ae/3658f0e0c311e599350d8e39185357/MOOC-Logo-_01_.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Katrina Skewes McFerran,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Life;Music,Life;Art and Design
890,Boosting Creativity for Innovation,HEC Paris,COURSE,4.8,557 reviews,Beginner,13k,https://www.coursera.org/learn/boosting-creativity-innovation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/75/3f95f023f211e9954a3381db3a4021/iStock-915729132.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Anne-Laure SELLIER,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,,Creativity;Innovation,Creativity;Art and Design;Art and Design;Computer Science;Personal Development
891,Introduction to Machine Learning,Duke University,COURSE,4.6,689 reviews,Intermediate,32k,https://www.coursera.org/learn/machine-learning-duke,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/8f/7afa60cbe911e8a233973e775a70ad/machine-learning-3.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Lawrence Carin , David Carlson, Timothy Dunn, Kevin Liang",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Machine Learning,Machine Learning;Math and Logic
892,Jazz Improvisation,Berklee College of Music,COURSE,4.8,678 reviews,Intermediate,60k,https://www.coursera.org/learn/jazz-improvisation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/de/4a93f07cc111e5b6970bf60813874a/jazz-large.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Gary BurtonTop Instructor,,"Shareable Certificate, 100% online, Flexible deadlines, Intermediate Level, English, Shareable Certificate, 100% online, Flexible deadlines, Intermediate Level, English",English,"Music Performance, Music, Jazz, Jazz Improvisation",Music,Music
893,AI For Medical Treatment,deeplearning.ai,COURSE,4.7,195 reviews,Intermediate,5.9k,https://www.coursera.org/learn/ai-for-medical-treatment,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/b8/0e1bae981d4d3db8ea3ccf44e65ef5/AI4MC3CourseraSquareLogo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Pranav Rajpurkar, Bora Uyumazturk, Amirhossein Kiani, Eddy Shyu",,"Shareable Certificate, 100% online, Course 3 of 3 in the, Flexible deadlines, Intermediate Level, English, Shareable Certificate, 100% online, Course 3 of 3 in the, Flexible deadlines, Intermediate Level, English",English,"treatment effect estimation, machine learning interpretation, Random Forest, natural language entity extraction, question-answering",Language;Machine Learning,Language;Data Science;Math and Logic
894,"English for Science, Technology, Engineering, and Mathematics",University of Pennsylvania,COURSE,4.8,1559 reviews,Beginner,120k,https://www.coursera.org/learn/stem,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/f7/f704c0120b11e6899cbff1c40878aa/STEM.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Jack Sullivan, Alyssa Swanson",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"English Grammar, Nanotechnology, English Language, Solar Energy",Energy ;Engineering;English;Language;Science,Energy ;Physical Science and Engineering;Language and Communication
895,Getting and Cleaning Data,Johns Hopkins University,COURSE,4.6,7230 reviews,Mixed,150k,https://www.coursera.org/learn/data-cleaning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6d/aac7c069b611e39de639278c4f9dba/ObtainingData.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Jeff Leek, PhD, Roger D. Peng, PhD, Brian Caffo, PhD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Data Manipulation, Regular Expression (REGEX), R Programming, Data Cleansing",Data Manipulation;R,Data Manipulation;Computer Science
896,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Northwestern University,COURSE,4.8,1728 reviews,Mixed,49k,https://www.coursera.org/learn/leadership-collaboration,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0f/2049a0582411e6b0cb5da5ab8b1947/OLS-C1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Leigh Thompson,,"Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English",English,"Negotiation, Leadership, Team Management, Collaboration",Leadership;Management;Negotiation;Teamwork,Leadership;Computer Science;Personal Development
